name,currency
Tokelau,New Zealand Dollar
Tonga,Tongan Pa'anga
Trinidad and Tobago,Trinidad and Tobago Dollar
Tunisia,Tunisian Dollar
Turkey,Turkish Lira
Turkmenistan,Manat
Turks and Caicos Islands,US Dollar
Tuvalu,Australian Dollar
Uganda,Uganda Shilling
Ukraine,Ukraine Hryvnia
United Arab Emirates,Arab Emirates Dirham
United Kingdom,Pound Sterling
United States,US Dollar
United States Minor Outlying Islands,US Dollar
Uruguay,Uruguayan Peso
Uzbekistan,Uzbekistan Sum
Vanuatu,Vanuatu Vatu
Venezuela,Venezuelan Bolivar
Vietnam,Vietnamese Dong
"Virgin Islands, British",Pound Sterling
"Virgin Islands, U.S.",US Dollar
Wales,Pound Sterlin
Wallis and Futuna,CFP Franc
Western Sahara,Moroccan Dirham
Yemen,Yemeni Rial
Zambia,Zambian Kwacha
Zimbabwe,Zimbabwe Dollar
